assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_in,transfers_out,value,yellow_cards,player,Involved
0,0,13,0,0.0,15,0.0,0.0,0.0,0.45,1,0,1.7,17.4,90,0,0,0,0,2,1407588,1,1,2,0.0,2,48276,101616,50,0,Aaron_Ramsdale_15,1
0,0,14,0,0.0,15,0.0,0.0,0.0,1.55,3,0,2.5,25.2,90,0,0,0,0,3,1164227,1,1,3,0.0,2,17642,267932,50,0,Aaron_Ramsdale_15,1
0,0,24,1,0.0,15,0.0,0.0,0.0,0.53,0,0,1.8,17.8,90,0,0,0,0,2,1117890,1,3,0,0.0,6,26476,60112,49,0,Aaron_Ramsdale_15,1
0,0,12,0,0.0,15,0.0,0.0,0.0,1.57,1,0,1.9,19.2,90,0,0,0,0,2,1109375,1,1,3,0.0,2,39331,71691,49,0,Aaron_Ramsdale_15,1
0,0,15,0,0.0,15,0.0,0.0,0.0,1.13,2,0,1.3,12.6,90,0,0,0,0,2,1098374,1,2,3,0.0,1,36722,58683,49,0,Aaron_Ramsdale_15,1
0,3,32,1,0.0,15,0.0,0.0,0.0,1.86,0,0,3.5,34.8,90,0,0,0,0,4,1120191,1,1,0,0.0,10,52485,42398,49,0,Aaron_Ramsdale_15,1
0,0,12,0,0.0,15,0.0,0.0,0.0,0.67,1,0,1.5,14.8,90,0,0,0,0,2,1120866,1,1,1,0.0,2,45235,27682,49,0,Aaron_Ramsdale_15,1
0,0,24,1,0.0,15,0.0,0.0,0.0,0.43,0,0,1.2,11.6,90,0,0,0,0,2,1141584,1,0,5,0.0,6,42052,27595,49,0,Aaron_Ramsdale_15,1
0,0,21,1,0.0,15,0.0,0.0,0.0,0.29,0,0,1.3,12.8,90,0,0,0,0,1,1126726,1,1,0,0.0,6,20985,39357,49,0,Aaron_Ramsdale_15,1
0,0,24,1,0.0,15,0.0,0.0,0.0,0.68,0,0,1.4,14.4,90,0,0,0,0,2,1184091,1,2,0,0.0,6,70419,23620,49,0,Aaron_Ramsdale_15,1
0,0,14,0,0.0,15,0.01,0.01,0.0,1.07,1,0,2.0,20.0,90,0,0,0,0,3,1367437,1,1,3,0.0,3,374614,204789,49,0,Aaron_Ramsdale_15,1
0,0,15,0,0.0,15,0.0,0.0,0.0,1.15,2,0,2.3,23.2,90,0,0,0,0,3,1353853,1,4,2,0.0,2,21408,38556,49,0,Aaron_Ramsdale_15,1
0,0,22,1,0.0,15,0.0,0.0,0.0,1.08,0,0,0.7,7.4,90,0,0,0,0,1,1308952,1,0,0,0.0,6,10521,55988,49,0,Aaron_Ramsdale_15,1
0,3,36,1,0.0,15,0.0,0.0,0.0,1.54,0,0,5.4,54.2,90,0,0,0,0,7,1274675,1,2,0,0.0,11,18330,55259,49,0,Aaron_Ramsdale_15,1
0,0,8,0,0.0,15,0.0,0.0,0.0,0.33,2,0,1.0,9.8,90,0,0,0,0,2,1326171,1,2,3,0.0,1,66258,29322,49,0,Aaron_Ramsdale_15,1
0,0,14,0,0.0,15,0.0,0.0,0.0,1.66,1,0,1.7,16.6,90,0,0,0,0,3,1329449,1,0,1,0.0,3,56449,62856,49,0,Aaron_Ramsdale_15,1
0,0,10,0,0.0,15,0.0,0.0,0.0,2.37,1,0,0.7,7.2,90,0,0,0,0,1,1349701,1,1,1,0.0,2,55004,40455,49,0,Aaron_Ramsdale_15,1
0,0,15,0,0.0,15,0.0,0.0,0.0,1.71,3,0,2.0,19.8,90,0,0,0,0,2,1349701,1,3,1,0.0,1,55004,40455,49,0,Aaron_Ramsdale_15,1
0,0,14,0,0.0,15,0.0,0.0,0.0,0.51,2,0,2.3,22.6,90,0,0,0,0,3,1349015,1,4,2,0.0,2,25414,30028,49,0,Aaron_Ramsdale_15,1
0,0,20,1,0.0,15,0.0,0.0,0.0,0.02,0,0,0.3,3.2,90,0,0,0,0,0,1372414,1,1,0,0.0,6,73566,51732,49,0,Aaron_Ramsdale_15,1
