player,element,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,threat,total_points,transfers_in,transfers_out,yellow_cards,Involved,price_start,price_end,profit_or_loss,Net Transfers,90s completed,expected_assists_per90,expected_goal_involvements_per90,expected_goals_per90,expected_goals_conceded_per90,goals_per_90,goals_conceded_per_90,saves_per_90,assists_per_90,bonus_points_per_90
Son Heung-min,428,6,8,471,9,829.3,4.5600000000000005,14.36,9.8,42.74,55,10,244.7,709.2,2886,0,0,0,0,0,926591.0,33,910.0,152,1811142,3224415,2,36,£12.0,£11.5,£-0.5,-1413273,32.06666666666667,0.1422037422037422,0.44781704781704773,0.30561330561330563,1.3328482328482327,0.3118503118503118,1.715176715176715,0.0,0.1871101871101871,0.24948024948024947
Sonny Perkins,663,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2370.0,0,0.0,0,7021,5626,0,0,£4.5,£4.5,£0.0,1395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stanley Mills,560,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2918.0,0,0.0,0,5135,5123,0,0,£4.5,£4.3,£-0.2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefan Bajcetic,564,0,0,85,3,61.7,0.47,1.26,0.79,6.800000000000001,4,1,22.8,90.19999999999999,522,0,0,0,0,0,6131.0,6,77.0,22,65114,39845,2,11,£4.5,£4.3,£-0.2,25269,5.8,0.08103448275862069,0.21724137931034485,0.13620689655172416,1.1724137931034484,0.1724137931034483,0.6896551724137931,0.0,0.0,0.0
Stefan Ortega Moreno,324,0,5,90,2,0.0,0.0,0.0,0.0,4.119999999999999,1,0,11.7,116.8,270,0,0,0,0,14,106698.0,3,0.0,23,313098,240721,0,3,£4.0,£3.7,£-0.3,72377,3.0,0.0,0.0,0.0,1.373333333333333,0.0,0.3333333333333333,4.666666666666667,0.0,1.6666666666666667
Stefan Parkes,636,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,3740.0,0,0.0,0,5398,4565,0,0,£4.0,£4.0,£0.0,833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steve Cook,379,0,0,149,2,39.3,0.59,0.72,0.13,15.149999999999999,21,0,24.4,177.4,956,0,0,0,0,0,12637.0,11,28.0,20,12536,23123,4,12,£4.5,£4.3,£-0.2,-10587,10.622222222222222,0.055543933054393306,0.06778242677824267,0.012238493723849374,1.426255230125523,0.0,1.9769874476987448,0.0,0.0,0.0
Steven Alzate,115,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,10886.0,0,0.0,0,9173,23264,0,0,£4.5,£4.4,£-0.1,-14091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Bergwijn,437,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,173.0,0,0.0,0,0,214,0,0,£5.5,£5.5,£0.0,-214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stuart Armstrong,405,2,2,221,1,282.8,2.73,5.04,2.31,28.64,34,2,78.60000000000001,234.20000000000002,1391,0,0,0,0,0,8504.0,14,267.0,57,16049,22116,6,32,£5.0,£4.7,£-0.3,-6067,15.455555555555556,0.1766355140186916,0.3260963335729691,0.1494608195542775,1.853055355859094,0.12940330697340044,2.1998562185478074,0.0,0.12940330697340044,0.12940330697340044
